,Report_Date,Egypt_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
160,2020-06-30,68311,148.45192989316305,49880.91572685157,True,161,68409.65752644152,98535.7917661659
161,2020-07-01,69814,148.45192989316305,49880.91572685157,True,162,69730.77538872798,98535.7917661659
162,2020-07-02,71299,148.45192989316305,49880.91572685157,True,163,71019.61334807474,98535.7917661659
163,2020-07-03,72711,148.45192989316305,49880.91572685157,True,164,72274.94200405249,98535.7917661659
164,2020-07-04,74035,148.45192989316305,49880.91572685157,True,165,73495.72103523847,98535.7917661659
165,2020-07-05,75253,148.45192989316305,49880.91572685157,True,166,74681.0963000631,98535.7917661659
166,2020-07-06,76222,148.45192989316305,49880.91572685157,True,167,75830.39520220913,98535.7917661659
167,2020-07-07,77279,148.45192989316305,49880.91572685157,True,168,76943.12052001833,98535.7917661659
168,2020-07-08,78304,148.45192989316305,49880.91572685157,True,169,78018.94291050617,98535.7917661659
169,2020-07-09,79254,148.45192989316305,49880.91572685157,True,170,79057.69230356872,98535.7917661659
170,2020-07-10,80235,148.45192989316305,49880.91572685157,True,171,80059.34840135252,98535.7917661659
171,2020-07-11,81158,148.45192989316305,49880.91572685157,True,172,81024.03049222832,98535.7917661659
172,2020-07-12,82070,148.45192989316305,49880.91572685157,True,173,81951.98677913366,98535.7917661659
173,2020-07-13,83001,148.45192989316305,49880.91572685157,True,174,82843.5834090303,98535.7917661659
174,2020-07-14,83930,148.45192989316305,49880.91572685157,True,175,83699.29337466125,98535.7917661659
175,2020-07-15,84843,148.45192989316305,49880.91572685157,True,176,84519.68544245815,98535.7917661659
176,2020-07-16,85771,148.45192989316305,49880.91572685157,True,177,85305.41324205569,98535.7917661659
177,2020-07-17,86474,148.45192989316305,49880.91572685157,True,178,86057.20463404804,98535.7917661659
178,2020-07-18,87172,148.45192989316305,49880.91572685157,True,179,86775.8514539254,98535.7917661659
179,2020-07-19,87775,148.45192989316305,49880.91572685157,True,180,87462.19971200699,98535.7917661659
180,2020-07-20,88402,148.45192989316305,49880.91572685157,True,181,88117.14031201137,98535.7917661659
181,2020-07-21,89078,148.45192989316305,49880.91572685157,True,182,88741.60033494054,98535.7917661659
182,2020-07-22,89745,148.45192989316305,49880.91572685157,True,183,89336.53492040209,98535.7917661659
183,2020-07-23,90413,148.45192989316305,49880.91572685157,True,184,89902.91976446372,98535.7917661659
184,2020-07-24,91072,148.45192989316305,49880.91572685157,True,185,90441.74424168559,98535.7917661659
185,2020-07-25,91583,148.45192989316305,49880.91572685157,True,186,90954.00514910785,98535.7917661659
186,2020-07-26,92062,148.45192989316305,49880.91572685157,True,187,91440.70106163842,98535.7917661659
187,2020-07-27,92482,148.45192989316305,49880.91572685157,True,188,91902.82728141734,98535.7917661659
188,2020-07-28,92947,148.45192989316305,49880.91572685157,True,189,92341.37135822588,98535.7917661659
189,2020-07-29,93356,148.45192989316305,49880.91572685157,True,190,92757.30915374494,98535.7917661659
190,2020-07-30,93757,148.45192989316305,49880.91572685157,True,191,93151.60141932293,98535.7917661659
191,2020-07-31,94078,148.45192989316305,49880.91572685157,True,192,93525.19085475632,98535.7917661659
192,2020-08-01,94316,148.45192989316305,49880.91572685157,True,193,93878.99961428862,98535.7917661659
193,2020-08-02,94483,148.45192989316305,49880.91572685157,True,194,94213.92722546903,98535.7917661659
194,2020-08-03,94640,148.45192989316305,49880.91572685157,True,195,94530.84888656346,98535.7917661659
195,2020-08-04,94752,148.45192989316305,49880.91572685157,True,196,94830.61410876615,98535.7917661659
196,2020-08-05,94875,148.45192989316305,49880.91572685157,True,197,95114.04567042319,98535.7917661659
197,2020-08-06,95006,148.45192989316305,49880.91572685157,True,198,95381.938851756,98535.7917661659
