,Report_Date,Ghana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
210,2020-08-19,43094,172.80341175162485,25005.901195799543,True,211,41632.71366111387,49973.9394225275
211,2020-08-20,43260,172.80341175162485,25005.901195799543,True,212,41921.40041702461,49973.9394225275
212,2020-08-21,43325,172.80341175162485,25005.901195799543,True,213,42202.00676503502,49973.9394225275
213,2020-08-22,43325,172.80341175162485,25005.901195799543,True,214,42474.630439212015,49973.9394225275
214,2020-08-23,43505,172.80341175162485,25005.901195799543,True,215,42739.37735097061,49973.9394225275
215,2020-08-24,43622,172.80341175162485,25005.901195799543,True,216,42996.36085187126,49973.9394225275
216,2020-08-25,43717,172.80341175162485,25005.901195799543,True,217,43245.70101543351,49973.9394225275
217,2020-08-26,43769,172.80341175162485,25005.901195799543,True,218,43487.52394046063,49973.9394225275
218,2020-08-27,43841,172.80341175162485,25005.901195799543,True,219,43721.96107799633,49973.9394225275
219,2020-08-28,43949,172.80341175162485,25005.901195799543,True,220,43949.148583677896,49973.9394225275
220,2020-08-29,44118,172.80341175162485,25005.901195799543,True,221,44169.226696913094,49973.9394225275
221,2020-08-30,44205,172.80341175162485,25005.901195799543,True,222,44382.339147991974,49973.9394225275
222,2020-08-31,44298,172.80341175162485,25005.901195799543,True,223,44588.63259395055,49973.9394225275
223,2020-09-01,44460,172.80341175162485,25005.901195799543,True,224,44788.256083732405,49973.9394225275
224,2020-09-02,44658,172.80341175162485,25005.901195799543,True,225,44981.36055294634,49973.9394225275
225,2020-09-03,44713,172.80341175162485,25005.901195799543,True,226,45168.09834829337,49973.9394225275
226,2020-09-04,44777,172.80341175162485,25005.901195799543,True,227,45348.62278153512,49973.9394225275
227,2020-09-05,44777,172.80341175162485,25005.901195799543,True,228,45523.08771269556,49973.9394225275
228,2020-09-06,44777,172.80341175162485,25005.901195799543,True,229,45691.647162031004,49973.9394225275
229,2020-09-07,44869,172.80341175162485,25005.901195799543,True,230,45854.45495016567,49973.9394225275
230,2020-09-08,45012,172.80341175162485,25005.901195799543,True,231,46011.664365672696,49973.9394225275
231,2020-09-09,45313,172.80341175162485,25005.901195799543,True,232,46163.42785928132,49973.9394225275
232,2020-09-10,45313,172.80341175162485,25005.901195799543,True,233,46309.896763809054,49973.9394225275
233,2020-09-11,45388,172.80341175162485,25005.901195799543,True,234,46451.22103885149,49973.9394225275
234,2020-09-12,45434,172.80341175162485,25005.901195799543,True,235,46587.54903921091,49973.9394225275
235,2020-09-13,45434,172.80341175162485,25005.901195799543,True,236,46719.02730600697,49973.9394225275
