,Report_Date,Germany_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
215,2020-08-24,236122,721.7841886168698,346527454.89835346,False,216,217231.91291299672,693054909.7967073
216,2020-08-25,237583,721.7841886168698,346527454.89835346,False,217,220723.57222925677,693054909.7967073
217,2020-08-26,239010,721.7841886168698,346527454.89835346,False,218,224271.33627788734,693054909.7967073
218,2020-08-27,240571,721.7841886168698,346527454.89835346,False,219,227876.10597309069,693054909.7967073
219,2020-08-28,242126,721.7841886168698,346527454.89835346,False,220,231538.79667662253,693054909.7967073
220,2020-08-29,242835,721.7841886168698,346527454.89835346,False,221,235260.3384288629,693054909.7967073
221,2020-08-30,243305,721.7841886168698,346527454.89835346,False,222,239041.67618356197,693054909.7967073
222,2020-08-31,244802,721.7841886168698,346527454.89835346,False,223,242883.77004632037,693054909.7967073
223,2020-09-01,246015,721.7841886168698,346527454.89835346,False,224,246787.5955168608,693054909.7967073
224,2020-09-02,247411,721.7841886168698,346527454.89835346,False,225,250754.14373515127,693054909.7967073
225,2020-09-03,248840,721.7841886168698,346527454.89835346,False,226,254784.42173144192,693054909.7967073
226,2020-09-04,250283,721.7841886168698,346527454.89835346,False,227,258879.4526802739,693054909.7967073
227,2020-09-05,251058,721.7841886168698,346527454.89835346,False,228,263040.27615852584,693054909.7967073
228,2020-09-06,251728,721.7841886168698,346527454.89835346,False,229,267267.9484075583,693054909.7967073
229,2020-09-07,253626,721.7841886168698,346527454.89835346,False,230,271563.54259952385,693054909.7967073
230,2020-09-08,254957,721.7841886168698,346527454.89835346,False,231,275928.14910790435,693054909.7967073
231,2020-09-09,256433,721.7841886168698,346527454.89835346,False,232,280362.87578234513,693054909.7967073
232,2020-09-10,258149,721.7841886168698,346527454.89835346,False,233,284868.8482278503,693054909.7967073
233,2020-09-11,259735,721.7841886168698,346527454.89835346,False,234,289447.2100884111,693054909.7967073
234,2020-09-12,260817,721.7841886168698,346527454.89835346,False,235,294099.1233351325,693054909.7967073
235,2020-09-13,261737,721.7841886168698,346527454.89835346,False,236,298825.7685589323,693054909.7967073
236,2020-09-14,263222,721.7841886168698,346527454.89835346,False,237,303628.34526788065,693054909.7967073
237,2020-09-15,265014,721.7841886168698,346527454.89835346,False,238,308508.0721892569,693054909.7967073
238,2020-09-16,266869,721.7841886168698,346527454.89835346,False,239,313466.18757639284,693054909.7967073
239,2020-09-17,269048,721.7841886168698,346527454.89835346,False,240,318503.94952038024,693054909.7967073
240,2020-09-18,271247,721.7841886168698,346527454.89835346,False,241,323622.63626671705,693054909.7967073
241,2020-09-19,272932,721.7841886168698,346527454.89835346,False,242,328823.5465369711,693054909.7967073
242,2020-09-20,273965,721.7841886168698,346527454.89835346,False,243,334107.99985553743,693054909.7967073
243,2020-09-21,275560,721.7841886168698,346527454.89835346,False,244,339477.336881569,693054909.7967073
244,2020-09-22,277412,721.7841886168698,346527454.89835346,False,245,344932.9197461639,693054909.7967073
245,2020-09-23,279025,721.7841886168698,346527454.89835346,False,246,350476.1323948869,693054909.7967073
246,2020-09-24,281346,721.7841886168698,346527454.89835346,False,247,356108.3809357125,693054909.7967073
247,2020-09-25,283712,721.7841886168698,346527454.89835346,False,248,361831.0939924692,693054909.7967073
248,2020-09-26,285026,721.7841886168698,346527454.89835346,False,249,367645.723063876,693054909.7967073
249,2020-09-27,286339,721.7841886168698,346527454.89835346,False,250,373553.7428882532,693054909.7967073
250,2020-09-28,288631,721.7841886168698,346527454.89835346,False,251,379556.6518139977,693054909.7967073
251,2020-09-29,290471,721.7841886168698,346527454.89835346,False,252,385655.97217591293,693054909.7967073
252,2020-09-30,292913,721.7841886168698,346527454.89835346,False,253,391853.25067748287,693054909.7967073
253,2020-10-01,295539,721.7841886168698,346527454.89835346,False,254,398150.05877918197,693054909.7967073
254,2020-10-02,298374,721.7841886168698,346527454.89835346,False,255,404547.99309291743,693054909.7967073
255,2020-10-03,300027,721.7841886168698,346527454.89835346,False,256,411048.6757826952,693054909.7967073
256,2020-10-04,301573,721.7841886168698,346527454.89835346,False,257,417653.75497160706,693054909.7967073
257,2020-10-05,304673,721.7841886168698,346527454.89835346,False,258,424364.90515523835,693054909.7967073
258,2020-10-06,307127,721.7841886168698,346527454.89835346,False,259,431183.82762159314,693054909.7967073
259,2020-10-07,311137,721.7841886168698,346527454.89835346,False,260,438112.2508776393,693054909.7967073
260,2020-10-08,315941,721.7841886168698,346527454.89835346,False,261,445151.93108257285,693054909.7967073
261,2020-10-09,320495,721.7841886168698,346527454.89835346,False,262,452304.65248791093,693054909.7967073
262,2020-10-10,323463,721.7841886168698,346527454.89835346,False,263,459572.22788451123,693054909.7967073
263,2020-10-11,326309,721.7841886168698,346527454.89835346,False,264,466956.49905663,693054909.7967073
264,2020-10-12,332850,721.7841886168698,346527454.89835346,False,265,474459.33724312467,693054909.7967073
265,2020-10-13,337314,721.7841886168698,346527454.89835346,False,266,482082.64360591193,693054909.7967073
266,2020-10-14,344487,721.7841886168698,346527454.89835346,False,267,489828.34970579087,693054909.7967073
267,2020-10-15,352107,721.7841886168698,346527454.89835346,False,268,497698.41798574844,693054909.7967073
268,2020-10-16,359802,721.7841886168698,346527454.89835346,False,269,505694.84226185456,693054909.7967073
269,2020-10-17,364664,721.7841886168698,346527454.89835346,False,270,513819.6482218736,693054909.7967073
270,2020-10-18,368671,721.7841886168698,346527454.89835346,False,271,522074.8939317003,693054909.7967073
271,2020-10-19,377068,721.7841886168698,346527454.89835346,False,272,530462.6703497457,693054909.7967073
272,2020-10-20,385591,721.7841886168698,346527454.89835346,False,273,538985.1018493932,693054909.7967073
273,2020-10-21,397922,721.7841886168698,346527454.89835346,False,274,547644.3467496489,693054909.7967073
274,2020-10-22,403874,721.7841886168698,346527454.89835346,False,275,556442.5978541092,693054909.7967073
275,2020-10-23,417350,721.7841886168698,346527454.89835346,False,276,565382.082998373,693054909.7967073
276,2020-10-24,427808,721.7841886168698,346527454.89835346,False,277,574465.0656060309,693054909.7967073
277,2020-10-25,437698,721.7841886168698,346527454.89835346,False,278,583693.8452533566,693054909.7967073
278,2020-10-26,450258,721.7841886168698,346527454.89835346,False,279,593070.7582428365,693054909.7967073
279,2020-10-27,463419,721.7841886168698,346527454.89835346,False,280,602598.1781856682,693054909.7967073
280,2020-10-28,479621,721.7841886168698,346527454.89835346,False,281,612278.5165933702,693054909.7967073
281,2020-10-29,498354,721.7841886168698,346527454.89835346,False,282,622114.2234786347,693054909.7967073
282,2020-10-30,517736,721.7841886168698,346527454.89835346,False,283,632107.787965566,693054909.7967073
283,2020-10-31,531790,721.7841886168698,346527454.89835346,False,284,642261.7389094463,693054909.7967073
284,2020-11-01,544346,721.7841886168698,346527454.89835346,False,285,652578.6455261759,693054909.7967073
285,2020-11-02,569598,721.7841886168698,346527454.89835346,False,286,663061.1180315283,693054909.7967073
